Name,Quantity,Bin,Tags,Notes,Links & docs,Date,Location
Molex 5mm,1,BB 29,Connector,,,,BB 29
JST-XH Connector kit,1,BB 29,Connector,,,,"BB 29, Grey Shelving"
Wire Connectors,6,BB 29,"Connector, Heavy Duty",,,,"BB 29, Grey Shelving"
USB To Small Barrell Plug Cable,1,,"Cable, Usb",,,,
250V Male Power Connector,2,BB 31,power connectors,,,,BB 31
15A 125V Female Power Connector,20,BB 31,power connectors,,,,"BB 31, Grey Shelving"
XT-90 CONNECTOR,7,BB 31,power connectors,,,,"BB 31, Grey Shelving"
XT-60 connector,7,BB 31,power connectors,,,,"BB 31, Grey Shelving"
PJ-002A 2.1MM BARREL PLUG CONNECTOR,5,BB 31,power connectors,,,,"BB 31, Grey Shelving"
RFID Reader Module,1,BB 16,"NFC, RFID, Sensors",,,,BB 16
MXD1230,8,,LASER,,,,Cabinet 2
AC to DC Bridge Rectifier,28,BB 35,Converter,,,,BB 35
RAC03-05SK,,BB 35,Converter,,,,"BB 35, Grey Shelving"
NME24055 Isolated 1W Single Output DC/DC Converters,2,BB 35,Converter,,,,"BB 25, Grey Shelving"
W-P40/20 DC24V 250N Suction,1,BB 34,Electromagnet,,,,"BB 34, Grey Shelving"
SN74HC595N,100,BB 26,Shift Register,,,,"BB 26, Grey Shelving"
Ender-3 Pro Silent Motherboard,1,,Motherboard,,,,Cabinet 2
TAU-1040T,1,BB 22,"Actuator, motor",,,,"BB 22, Grey Shelving"
lm2596 DC-DC,1,BB 35,buck converter,,,,"BB 35, Grey Shelving"
ethernet connector,,BB 30,ethernet connector,,,,"BB 30, Grey Shelving"
G6K-2G-Y-DC5 Low Signal Relay,7,BB 36,Relay,,,,"BB 36, Grey Shelving"
HK4C100F-DC12V-SHC Relay,10,BB 36,Relay,,,,"BB 36, Grey Shelving"
6A277VAC 250VAC 5-Pins Power Relay,14,BB 36,Relay,,,,"BB 36, Grey Shelving"
Relay Gen Purpose SPST 16A 5V,1,BB 36,Relay,,,,"BB 36, Grey Shelving"
Wire Connector 15 GJ,100,BB 29,terminal,,,,"BB 29, Grey Shelving"
ABM8 16 MHz,4,BB 37,Oscillator,,,,"BB 37, Grey Shelving"
CTX626CT-ND Oscillator VCXO 4.096 MHz,1,BB 37,Oscillator,,,,"BB 37, Grey Shelving"
HC49 4.00 MHz,1,BB 37,Oscillator,,,,"BB 37, Grey Shelving"
AD8343 High IP3 Active Mixer,2,IC BIN X,IC,,,,IC BIN X
ADF4360-7 Integrated Synthesizer / VCO,1,IC BIN X,IC,,,,IC BIN X
wrp102,1,ic bin y,IC,,,,IC BIN Y
Audio Jack,1,BB 29,Connector,,,,BB 29
https://www.digikey.ca/en/products/detail/microchip-technology/MCP4822-E-P/951465 A/D Converter,2,ic bin y,IC,,,,IC BIN Y
LT1677CN8 Linear Amplifier,4,ic bin y,IC,,,,IC BIN Y
https://www.mouser.ca/ProductDetail/Texas-Instruments/LM13700MX-NOPB?qs=X1J7HmVL2ZEZitMdTjSZsg%3D%3D Linear Amplifier,4,ic bin y,IC,,,,IC BIN Y
MCP3008 A/D Converter,9,ic bin y,IC,,,,IC BIN Y
LTV846 Isolator Transistor Output,1,ic bin y,IC,,,,IC BIN Y
IRLL014 Voltage Regular,14,ic bin y,IC,,,,IC BIN Y
9-pin D-sub,6,BB 29,Connector,,,,BB 29
FOD817CS Optocouplers,1,ic bin y,IC,,,,IC BIN Y
815Y Optocouplers,1,ic bin y,IC,,,,IC BIN Y
1212 8-pin SMT THT Adapter,17,BB 14,SMD,,,,"BB 14, Grey Shelving"
M83513/03-A03C Connector,3,BB 29,Connector,,,,BB 29
PVG3A101C01R00 Potentiometer,7,BB 4,Potentiometer,,,,BB 4
SEN0298 Pressure Sensor,10,BB 16,Sensors,,,,BB 16
LT1761ES5-5 Linear Voltage Regulator,6,ic bin y,IC,,,,IC BIN Y
AD8599ARZ Precision Amplifier,5,ic bin y,IC,,,,IC BIN Y
C3008368 Optocouplers,10,ic bin y,IC,,,,IC BIN Y
TLE5205-2G Half Bridge,1,,IC,,,"September 8, 2024",IC BIN Y
TPS56528DDAR Voltage Regulator,1,,"IC, Voltage Regulator",,,"September 8, 2024",IC BIN Y
MDB8S Bridge Rectifier,4,,IC,,,"September 8, 2024",IC BIN Y
electric motor,8,,DC Motor,,,"September 8, 2024","BB 39, Grey Shelving"
LM2576T Simple Switcher,2,,IC,,,"September 8, 2024",IC BIN Y
G6S-2G-DC24 Low Signal Relay,2,,Relay,,,"September 8, 2024","BB 36, Grey Shelving"
Servo headers,-1,BB 10,Servo Motor,,,"September 8, 2024",
NC38 32.768KHZ,1,BB 37,Oscillator,,,,"BB 37, Grey Shelving"
MC145027P Decoder Remote Control,1,,IC,,,"September 8, 2024",IC BIN Y
semiconductor,6,,,,,"September 8, 2024",IC BIN Y
cp2,4,,semiconductors,,,"September 8, 2024",IC BIN Y
V7805-2000 DC Converter,9,,Converter,,,"September 8, 2024","BB 35, Grey Shelving"
3-PIN Terminal Block,10,,"Connector, power connectors",,,"September 8, 2024",BB 29
rc brushless controller,1,,"40A, RC, controller",,,"September 8, 2024","BB 39, Grey Shelving"
ASDXRRX005PGAA5 Pressure Sensor,6,,"IC, Sensors",,,"September 8, 2024",IC BIN Y
HAA27 Switch for Alarm,3,,Sensors,,,"September 8, 2024","BB 16, Grey Shelving"
GP2Y0D810Z0F Digital Distance Sensor 10cm,1,,Sensors,,,"September 8, 2024","BB 16, Grey Shelving"
LM555CN Timer,10,,Oscillator,,,"September 8, 2024","BB 37, Grey Shelving"
PNP TIP32CG,5,,Transistors,,,"September 8, 2024","BB 19, Grey Shelving"
NPN 2N3904,10,,Transistors,,,"September 8, 2024","BB 19, Grey Shelving"
32 Pin Extender,4,,extender,,,"September 8, 2024","BB 3, Grey Shelving"
40 Pin Extender,4,,extender,,,"September 8, 2024","BB 3, Grey Shelving"
SRD-05VDC-SL-C Relay,1,,Relay,,,"September 8, 2024","BB 36, Grey Shelving"
DA-TSSOP20-P65 10-pin SMT THT Adapter,1,,SMD,,,"September 8, 2024","BB 25, Grey Shelving"
TB6612FNG Motor Driver,1,,Motor Driver,,,"September 8, 2024","BB 22, Grey Shelving"
"20 AMP Fuse ",3,,Fuse,,,"September 8, 2024",BB 11
10 AMP Fuse,3,,Fuse,,,"September 8, 2024",BB 11
30 AMP Fuse,3,,Fuse,,,"September 8, 2024",BB 11
40 AMP Fuse,3,,Fuse,,,"September 8, 2024",BB 11
50 AMP Fuse,3,,Fuse,,,"September 8, 2024",BB 11
New item,,,,,,"September 8, 2024",
rc brushless motor,2,,"Brushless, motor",,,"September 8, 2024","BB 39, Grey Shelving"
60 AMP Fuse,6,,Fuse,,,"September 8, 2024",BB 11
70 AMP Fuse,6,,Fuse,,,"September 8, 2024",BB 11
80 AMP Fuse,3,,Fuse,,,"September 8, 2024",BB 11
100 AMP Fuse,1,,Fuse,,,"September 8, 2024",BB 11
LM2596 Voltage Regulator,1,,Voltage Regulator,,,"September 8, 2024",BB 5
Low Voltage Buzzer,1,,Voltage Buzzer,,,"September 8, 2024",BB 5
New item,,,,,,"September 8, 2024",
A1560 Heating Element,4,,Soldering,,,"September 8, 2024",BB 8
SOL-DOOR-02,1,,"Actuator, motor",,,"September 8, 2024",BB 22
"NE555N Timer ",1,,Oscillator,,,"September 8, 2024","BB 37, Grey Shelving"
XL6019,1,,power supply,,,"September 8, 2024",BB 25
New item,,,,,,"September 8, 2024",IC BIN Y
Engraver,,,,,,"September 8, 2024",
" generator",3,,,,,"September 8, 2024",
high voltage pulse generator,3,,power supply,,,"September 8, 2024","BB 25, Grey Shelving"
LM338T Voltage Regulator,5,,"IC, Voltage Regulator",,,"September 8, 2024",IC BIN Y
gf0501 speaker,1,,Audio,,,"September 8, 2024",BB 38
PDQ30 DC to DC Converter,1,,Converter,,,"September 8, 2024",BB 35
mini motor,1,,,,,"September 8, 2024",
mini motor,1,,,,,"September 8, 2024",BB 22
AMS1117 Voltage Regulator,27,,Voltage Regulator,,,"September 8, 2024","BB 5, Grey Shelving"
738W Power Conector,8,,power connectors,,,"September 8, 2024",BB 31
BT136S Voltage Regulator,7,,Voltage Regulator,,,"September 8, 2024","BB 5, Grey Shelving"
G5LE-1A4 Relay,4,,Relay,,,"September 8, 2024",BB 36
Z184-ND Relay,1,,Relay,,,"September 8, 2024",BB 36
SN754410NE,10,,IC,,,"September 8, 2024",IC BIN X
2N7000TACT-ND,1,,Transistors,,,"September 8, 2024",BB 19
2N3906-AP,1,,Transistors,,,"September 8, 2024","BB 19, Grey Shelving"
phototransistor 475-1443-ND,10,,"Transistors, phototransistor",,,"September 8, 2024",BB 19
CP-3536NG-ND,20,,"Audio, Connector",,,"September 8, 2024",BB 38
New item,,,,,,"September 8, 2024",
CD4007UBE,10,,IC,,,"September 8, 2024",IC BIN Y
CD74HC4316E,5,,IC,,,"September 8, 2024",IC BIN Y
2N4403-AP,10,,,,,"September 8, 2024",BB 19
HDSP-313E Numerical Red LED,10,,LED,,,"September 8, 2024","BB 21, Grey Shelving"
IRFP4110pbf-ND,10,,MOSFET,,,"September 8, 2024",BB 19
ATP302-TL-HOSCT-ND,6,,MOSFET,,,"September 8, 2024","BB 19, Grey Shelving"
1727-2596-1-ND,12,,MOSFET,,,"September 8, 2024",BB 19
IRLB8721PBF,5,,MOSFET,,,"September 8, 2024",BB 19
DMN2004KDICT-ND,10,,MOSFET,,,"September 8, 2024",BB 19
IXTH120P065T,5,,MOSFET,,,"September 8, 2024",BB 19
160-2038-1-ND,10,,"Transistors, optoisolator",,,"September 8, 2024",BB 19
Wall Adapter Micro USB,2,,"Adapters, Usb",,,"September 8, 2024",Cabinet 4
Large Servo,14,,Servo Motor,,,"September 8, 2024","BB 10, Grey Shelving"
New item,,,,,,"September 9, 2024",
New item,,,,,,"September 9, 2024",
DVI Cable,5,,,,,"September 9, 2024","Cabinet 4, WB1"
VGA cables,2,,"Connector, IT",,,"September 9, 2024","Cabinet 4, WB1"
usb 2.0 Micro B Cab,12,,"IT, usb connectors",,,"September 9, 2024","Cabinet 4, WB2"
USB 2.0 B,18,,"IT, usb connectors",,,"September 9, 2024","Cabinet 4, WB2"
DC 5v Power,3,,"IT, power connectors",,,"September 9, 2024","Cabinet 4, WB2"
usb to usb,1,,"IT, Usb",,,"September 9, 2024","Cabinet 4, WB2"
New item,,,,,,"September 9, 2024",
USB 2.0 mini B,2,,"IT, usb connectors",,,"September 9, 2024","Cabinet 4, WB2"
usb 3.0 Micro B (hard-drive),2,,"IT, usb connectors",,,"September 9, 2024","Cabinet 4, WB2"
usb to usbc,4,,"IT, usb connectors",,,"September 9, 2024","Cabinet 4, WB2"
New item,,,,,,"September 9, 2024",
USB Drive,2,,"Storage, Usb",,,"September 12, 2024",Cabinet 4
12V Power Supply,1,,"12V, power supply",Max 3A,,"September 12, 2024",Cabinet 4
12mm Label Tape White,5,,"IT, Materials",,,"September 13, 2024","Cabinet 4, WB 4"
HDMI,5,,"Connector, IT",,,"September 13, 2024","Cabinet 4, WB3"
Lenovo Mouse,1,,"IT, Mouse",,,"September 13, 2024","Cabinet 4, WB 4"
USB to VGA,1,,"Usb, VGA",,,"September 13, 2024","Cabinet 4, WB1"
"Long Ethernet ",1,,"IT, ethernet connector, green",,,"September 13, 2024","Cabinet 4, WB5"
Long Ethernet,1,,"IT, ethernet connector",,,"September 13, 2024","Cabinet 4, WB5"
TP link - switch,1,,"IT, internet",,,"September 13, 2024","Cabinet 4, WB5"
TP link - modem,1,,"IT, internet",,,"September 13, 2024","Cabinet 4, WB5"
RCA Phono TV Plugs,1,,"Cable, IT",,,"September 13, 2024","Cabinet 4, WB 4"
Dell mouse,3,,"IT, hardware",,,"September 13, 2024","Cabinet 4, WB6"
DC 12v 1 to 4 Cable,1,,"Cable, IT",,,"September 13, 2024","Cabinet 4, WB 4"
New item,,,,,,"September 18, 2024",
Switches/Buttons Box,1,RedBox1,Switches/Buttons,,,"September 27, 2024",ECAStorage
Box of Capacitors,2,RedBox1,Capacitors,,,"September 27, 2024",ECAStorage
,,,,,,"September 27, 2024",
Box of Resistors,2,RedBox1,Resistors,,,"September 27, 2024",ECAStorage
Box of Diodes,1,RedBox1,Diodes,,,"September 27, 2024",ECAStorage
Box of Power Supplies,1,RedBox1,power supply,,,"September 27, 2024",ECAStorage
PCB Tutorial Box,2,RedBox2,PCB,,,"September 27, 2024",ECAStorage
PSU Tutorial Kit,1,RedBox2,PSU,,,"September 27, 2024",ECAStorage
"Footswitch ",1,RedBox2,Footswitch,,,"September 27, 2024",ECAStorage
Miscellaneous Boxes,2,RedBox1,"ConnectorStuff, Sensors",,,"September 27, 2024",ECAStorage
Submerisble Pump,1,BB 22,PUMP,,,"November 1, 2024",BB 39
New item,,,,,,"November 2, 2024",
"Inline Wire Connectors ",48,BB 29,ConnectorStuff,,,"November 2, 2024",BB 29
New item,,,,,,"November 2, 2024",
221 Series Wire Connectors,28,BB 29,Connector,,,"November 2, 2024",BB 29
